date,time,geography,service,user
2023-01-20,1425,Oslo,profil,Ola
2023-01-20,1166,Kristiansand,profil,Ola
2023-01-20,1282,Trondheim,innstillinger,Ola
2023-01-20,1353,Stavanger,brukeranmeldelser,Anne
2023-01-20,1031,Stavanger,innstillinger,Per
2023-01-20,89,Stavanger,profil,Per
2023-01-20,539,Kristiansand,brukeranmeldelser,Anne
2023-01-21,501,Oslo,brukeranmeldelser,Ola
2023-01-21,460,Kristiansand,brukeranmeldelser,Anne
2023-01-21,1276,Trondheim,innstillinger,Per
2023-01-21,708,Bergen,profil,Ola
2023-01-21,823,Trondheim,brukeranmeldelser,Per
2023-01-21,1028,Oslo,profil,Ola
2023-01-21,223,Trondheim,brukeranmeldelser,Ola
2023-01-21,1305,Trondheim,meldinger,Ola
2023-01-22,104,Oslo,brukeranmeldelser,Kari
2023-01-22,822,Oslo,brukeranmeldelser,Anne
2023-01-22,770,Kristiansand,brukeranmeldelser,Nils
2023-01-22,676,Bergen,meldinger,Per
2023-01-22,1168,Oslo,profil,Nils
2023-01-23,50,Kristiansand,innstillinger,Nils
2023-01-23,448,Bergen,innstillinger,Ola
2023-01-23,94,Bergen,profil,Per
2023-01-23,437,Trondheim,profil,Kari
2023-01-23,267,Stavanger,brukeranmeldelser,Ola
2023-01-24,400,Kristiansand,profil,Nils
2023-01-24,577,Trondheim,meldinger,Kari
2023-01-24,763,Bergen,profil,Per
2023-01-24,797,Trondheim,meldinger,Kari
2023-01-24,1331,Oslo,innstillinger,Ola
2023-01-24,1358,Bergen,meldinger,Anne
2023-01-24,80,Kristiansand,innstillinger,Nils
2023-01-24,137,Bergen,brukeranmeldelser,Ola
2023-01-24,983,Bergen,profil,Nils
2023-01-24,52,Kristiansand,profil,Per
2023-01-24,42,Trondheim,meldinger,Kari
2023-01-24,760,Stavanger,innstillinger,Kari
2023-01-24,899,Trondheim,innstillinger,Ola
2023-01-25,666,Bergen,brukeranmeldelser,Nils
2023-01-25,633,Trondheim,brukeranmeldelser,Kari
2023-01-25,1028,Stavanger,profil,Per
2023-01-25,533,Oslo,brukeranmeldelser,Nils
2023-01-25,232,Bergen,profil,Anne
2023-01-25,545,Bergen,brukeranmeldelser,Ola
2023-01-25,1096,Oslo,meldinger,Per
2023-01-26,213,Kristiansand,brukeranmeldelser,Kari
2023-01-26,1049,Oslo,innstillinger,Anne
2023-01-26,624,Kristiansand,innstillinger,Kari
2023-01-26,718,Stavanger,meldinger,Per
2023-01-26,77,Kristiansand,profil,Per
2023-01-26,525,Trondheim,meldinger,Kari
2023-01-26,1026,Stavanger,brukeranmeldelser,Kari
2023-01-26,1297,Trondheim,meldinger,Per
2023-01-26,1038,Kristiansand,innstillinger,Ola
2023-01-26,713,Oslo,meldinger,Ola
2023-01-26,85,Stavanger,brukeranmeldelser,Per
2023-01-26,144,Stavanger,brukeranmeldelser,Nils
2023-01-26,1417,Oslo,brukeranmeldelser,Kari
2023-01-27,110,Bergen,meldinger,Anne
2023-01-27,1392,Trondheim,profil,Anne
2023-01-27,424,Stavanger,profil,Nils
2023-01-27,1343,Trondheim,innstillinger,Per
2023-01-27,314,Kristiansand,brukeranmeldelser,Nils
2023-01-27,1312,Kristiansand,profil,Nils
2023-01-28,623,Trondheim,profil,Anne
2023-01-28,349,Trondheim,meldinger,Ola
2023-01-28,542,Stavanger,innstillinger,Nils
2023-01-28,1246,Stavanger,innstillinger,Per
2023-01-28,74,Oslo,profil,Anne
2023-01-28,503,Oslo,profil,Kari
2023-01-28,846,Bergen,meldinger,Kari
2023-01-28,172,Kristiansand,profil,Anne
2023-01-28,1433,Trondheim,innstillinger,Anne
2023-01-28,224,Oslo,innstillinger,Anne
2023-01-29,89,Trondheim,meldinger,Nils
2023-01-29,844,Trondheim,brukeranmeldelser,Kari
2023-01-29,901,Bergen,brukeranmeldelser,Per
2023-01-29,171,Kristiansand,innstillinger,Per
2023-01-29,320,Oslo,brukeranmeldelser,Nils
2023-01-30,910,Oslo,brukeranmeldelser,Kari
2023-01-30,317,Stavanger,profil,Anne
2023-01-30,333,Trondheim,brukeranmeldelser,Nils
2023-01-30,587,Trondheim,brukeranmeldelser,Kari
2023-01-30,1319,Kristiansand,innstillinger,Anne
2023-01-30,872,Stavanger,profil,Nils
2023-01-30,1314,Kristiansand,brukeranmeldelser,Nils
2023-01-30,850,Bergen,profil,Kari
2023-01-30,131,Kristiansand,profil,Ola
2023-01-30,88,Trondheim,brukeranmeldelser,Per
2023-01-30,421,Oslo,brukeranmeldelser,Ola
2023-01-30,144,Bergen,profil,Ola
2023-01-30,820,Trondheim,profil,Kari
2023-01-31,578,Bergen,innstillinger,Kari
2023-01-31,1038,Oslo,innstillinger,Nils
2023-01-31,477,Stavanger,brukeranmeldelser,Kari
2023-01-31,549,Oslo,brukeranmeldelser,Ola
2023-01-31,996,Oslo,profil,Kari
2023-01-31,195,Bergen,brukeranmeldelser,Per
2023-01-31,864,Stavanger,brukeranmeldelser,Nils
2023-01-31,215,Kristiansand,innstillinger,Anne
2023-01-31,1284,Stavanger,innstillinger,Nils
2023-01-31,129,Trondheim,meldinger,Kari
2023-02-01,1315,Trondheim,meldinger,Per
2023-02-01,68,Trondheim,profil,Anne
2023-02-01,871,Trondheim,innstillinger,Per
2023-02-01,217,Bergen,brukeranmeldelser,Nils
2023-02-01,992,Trondheim,innstillinger,Anne
2023-02-01,1003,Stavanger,brukeranmeldelser,Anne
2023-02-01,887,Bergen,brukeranmeldelser,Nils
2023-02-01,603,Oslo,profil,Per
2023-02-02,1052,Trondheim,meldinger,Ola
2023-02-02,813,Kristiansand,profil,Nils
2023-02-02,419,Oslo,meldinger,Ola
2023-02-02,566,Kristiansand,meldinger,Kari
2023-02-02,968,Oslo,profil,Nils
2023-02-02,312,Bergen,brukeranmeldelser,Nils
2023-02-02,574,Oslo,profil,Anne
2023-02-03,385,Trondheim,profil,Per
2023-02-03,346,Trondheim,meldinger,Ola
2023-02-03,875,Trondheim,profil,Kari
2023-02-03,663,Stavanger,profil,Ola
2023-02-03,1184,Kristiansand,meldinger,Ola
2023-02-03,1002,Stavanger,profil,Per
2023-02-03,1072,Stavanger,brukeranmeldelser,Ola
2023-02-03,688,Stavanger,meldinger,Anne
2023-02-03,1383,Oslo,innstillinger,Ola
2023-02-03,1164,Trondheim,innstillinger,Kari
2023-02-04,1341,Oslo,brukeranmeldelser,Nils
2023-02-04,285,Bergen,brukeranmeldelser,Kari
2023-02-04,589,Bergen,profil,Kari
2023-02-04,501,Oslo,profil,Anne
2023-02-04,1245,Stavanger,brukeranmeldelser,Kari
2023-02-04,1287,Trondheim,innstillinger,Nils
2023-02-04,777,Trondheim,profil,Per
2023-02-05,1403,Stavanger,innstillinger,Ola
2023-02-05,1201,Oslo,brukeranmeldelser,Nils
2023-02-05,758,Trondheim,meldinger,Kari
2023-02-05,327,Kristiansand,meldinger,Ola
2023-02-05,1074,Stavanger,meldinger,Ola
2023-02-05,1287,Trondheim,innstillinger,Per
2023-02-06,1101,Stavanger,innstillinger,Kari
2023-02-06,164,Bergen,meldinger,Nils
2023-02-06,329,Kristiansand,meldinger,Ola
2023-02-06,1404,Stavanger,brukeranmeldelser,Kari
2023-02-06,699,Bergen,brukeranmeldelser,Per
2023-02-06,814,Stavanger,meldinger,Nils
2023-02-06,745,Trondheim,meldinger,Per
2023-02-06,1142,Stavanger,brukeranmeldelser,Anne
2023-02-06,804,Bergen,brukeranmeldelser,Ola
2023-02-06,939,Stavanger,profil,Kari
2023-02-06,853,Oslo,profil,Anne
2023-02-06,1181,Oslo,profil,Kari
2023-02-07,1232,Bergen,brukeranmeldelser,Ola
2023-02-07,1304,Trondheim,profil,Ola
2023-02-07,3,Bergen,brukeranmeldelser,Per
2023-02-07,1132,Kristiansand,meldinger,Per
2023-02-07,837,Kristiansand,profil,Per
2023-02-07,1379,Bergen,brukeranmeldelser,Ola
2023-02-07,1176,Stavanger,meldinger,Per
2023-02-08,341,Trondheim,brukeranmeldelser,Nils
2023-02-08,1310,Bergen,innstillinger,Kari
2023-02-08,820,Kristiansand,brukeranmeldelser,Per
2023-02-08,921,Stavanger,profil,Nils
2023-02-08,633,Stavanger,profil,Per
2023-02-08,1386,Trondheim,brukeranmeldelser,Ola
2023-02-08,1315,Bergen,brukeranmeldelser,Kari
2023-02-08,148,Trondheim,innstillinger,Kari
2023-02-08,675,Trondheim,meldinger,Ola
2023-02-09,1250,Kristiansand,innstillinger,Per
2023-02-09,1312,Stavanger,meldinger,Per
2023-02-09,1171,Trondheim,innstillinger,Kari
2023-02-09,957,Kristiansand,meldinger,Kari
2023-02-09,481,Bergen,profil,Ola
2023-02-09,72,Oslo,brukeranmeldelser,Ola
2023-02-09,1240,Trondheim,innstillinger,Nils
2023-02-09,41,Trondheim,meldinger,Ola
2023-02-09,1252,Stavanger,meldinger,Anne
2023-02-09,101,Stavanger,meldinger,Per
2023-02-09,1067,Trondheim,brukeranmeldelser,Kari
2023-02-09,956,Bergen,brukeranmeldelser,Ola
2023-02-10,11,Kristiansand,brukeranmeldelser,Kari
2023-02-10,373,Bergen,brukeranmeldelser,Ola
2023-02-10,1291,Bergen,brukeranmeldelser,Kari
2023-02-10,46,Oslo,meldinger,Per
2023-02-10,980,Kristiansand,meldinger,Per
2023-02-10,136,Bergen,meldinger,Kari
2023-02-10,726,Bergen,meldinger,Nils
2023-02-10,989,Trondheim,profil,Anne
2023-02-10,614,Trondheim,innstillinger,Ola
2023-02-10,187,Bergen,meldinger,Nils
2023-02-10,804,Bergen,meldinger,Kari
2023-02-11,363,Stavanger,brukeranmeldelser,Ola
2023-02-11,981,Kristiansand,profil,Ola
2023-02-11,1184,Bergen,innstillinger,Nils
2023-02-11,893,Trondheim,profil,Per
2023-02-11,545,Kristiansand,brukeranmeldelser,Kari
2023-02-11,1297,Trondheim,meldinger,Kari
2023-02-11,813,Kristiansand,profil,Anne
2023-02-11,476,Stavanger,brukeranmeldelser,Nils
2023-02-11,271,Oslo,profil,Anne
2023-02-11,925,Stavanger,brukeranmeldelser,Ola
2023-02-11,576,Trondheim,brukeranmeldelser,Ola
2023-02-12,323,Kristiansand,brukeranmeldelser,Per
2023-02-12,431,Kristiansand,profil,Ola
2023-02-12,584,Oslo,innstillinger,Ola
2023-02-12,963,Trondheim,profil,Anne
2023-02-12,60,Trondheim,innstillinger,Nils
2023-02-12,709,Kristiansand,profil,Kari
2023-02-12,1176,Stavanger,meldinger,Anne
2023-02-12,1333,Trondheim,brukeranmeldelser,Nils
2023-02-12,1389,Trondheim,profil,Per
2023-02-12,824,Oslo,brukeranmeldelser,Per
2023-02-12,505,Kristiansand,brukeranmeldelser,Kari
2023-02-12,53,Oslo,meldinger,Ola
2023-02-13,418,Bergen,profil,Per
2023-02-13,1168,Trondheim,profil,Kari
2023-02-13,780,Oslo,brukeranmeldelser,Nils
2023-02-13,579,Bergen,meldinger,Nils
2023-02-13,951,Trondheim,innstillinger,Kari
2023-02-13,1218,Bergen,innstillinger,Ola
2023-02-13,169,Oslo,brukeranmeldelser,Ola
2023-02-13,1418,Bergen,innstillinger,Kari
2023-02-14,327,Kristiansand,innstillinger,Kari
2023-02-14,913,Stavanger,innstillinger,Nils
2023-02-14,972,Kristiansand,brukeranmeldelser,Anne
2023-02-14,592,Kristiansand,innstillinger,Per
2023-02-14,317,Trondheim,profil,Nils
2023-02-14,1346,Trondheim,brukeranmeldelser,Per
2023-02-14,1312,Stavanger,brukeranmeldelser,Kari
2023-02-14,570,Oslo,brukeranmeldelser,Kari
2023-02-14,362,Oslo,brukeranmeldelser,Nils
2023-02-14,1193,Trondheim,profil,Anne
2023-02-15,132,Kristiansand,profil,Kari
2023-02-15,760,Bergen,profil,Kari
2023-02-15,671,Kristiansand,profil,Kari
2023-02-15,81,Bergen,profil,Anne
2023-02-15,588,Stavanger,meldinger,Nils
2023-02-15,1247,Trondheim,brukeranmeldelser,Nils
2023-02-15,1256,Bergen,innstillinger,Ola
2023-02-15,447,Trondheim,innstillinger,Nils
2023-02-15,1349,Bergen,brukeranmeldelser,Kari
2023-02-15,1247,Stavanger,innstillinger,Per
2023-02-15,334,Kristiansand,profil,Nils
2023-02-16,915,Bergen,innstillinger,Anne
2023-02-16,730,Stavanger,profil,Ola
2023-02-16,400,Oslo,profil,Per
2023-02-16,473,Bergen,profil,Kari
2023-02-16,1293,Stavanger,innstillinger,Nils
2023-02-16,762,Stavanger,brukeranmeldelser,Kari
2023-02-16,459,Trondheim,brukeranmeldelser,Nils
2023-02-16,878,Trondheim,profil,Kari
2023-02-17,737,Stavanger,brukeranmeldelser,Nils
2023-02-17,1122,Oslo,meldinger,Nils
2023-02-17,1294,Kristiansand,meldinger,Nils
2023-02-17,883,Stavanger,profil,Per
2023-02-17,848,Stavanger,brukeranmeldelser,Anne
2023-02-17,20,Trondheim,innstillinger,Nils
2023-02-17,1410,Oslo,profil,Kari
2023-02-17,933,Kristiansand,meldinger,Per
2023-02-17,1008,Stavanger,profil,Ola
2023-02-17,1294,Trondheim,innstillinger,Anne
2023-02-17,1083,Oslo,brukeranmeldelser,Ola
2023-02-18,519,Bergen,innstillinger,Kari
2023-02-18,198,Kristiansand,innstillinger,Kari
2023-02-18,692,Bergen,meldinger,Anne
2023-02-18,915,Oslo,profil,Ola
2023-02-18,1259,Stavanger,brukeranmeldelser,Anne
2023-02-18,1016,Kristiansand,brukeranmeldelser,Anne
2023-02-18,385,Kristiansand,brukeranmeldelser,Kari
2023-02-18,71,Bergen,profil,Nils
2023-02-18,1343,Trondheim,brukeranmeldelser,Per
2023-02-19,800,Oslo,innstillinger,Anne
2023-02-19,778,Oslo,brukeranmeldelser,Kari
2023-02-19,587,Stavanger,innstillinger,Ola
2023-02-19,672,Bergen,innstillinger,Per
2023-02-19,1,Oslo,brukeranmeldelser,Ola
2023-02-19,588,Bergen,profil,Anne
2023-02-19,1126,Bergen,profil,Per
2023-02-19,121,Bergen,profil,Per
2023-02-19,886,Oslo,innstillinger,Anne
2023-02-19,316,Trondheim,profil,Kari
2023-02-19,8,Oslo,profil,Ola
2023-02-19,715,Stavanger,profil,Per
2023-02-19,1107,Trondheim,innstillinger,Kari
2023-02-20,1413,Bergen,meldinger,Per
2023-02-20,514,Stavanger,profil,Ola
2023-02-20,13,Bergen,profil,Kari
2023-02-20,1035,Kristiansand,brukeranmeldelser,Anne
2023-02-20,1324,Bergen,meldinger,Kari
2023-02-20,749,Kristiansand,innstillinger,Anne
2023-02-20,308,Stavanger,profil,Kari
2023-02-20,913,Kristiansand,innstillinger,Kari
2023-02-21,872,Trondheim,innstillinger,Kari
2023-02-21,754,Kristiansand,brukeranmeldelser,Kari
2023-02-21,1230,Stavanger,brukeranmeldelser,Ola
2023-02-21,861,Bergen,brukeranmeldelser,Nils
2023-02-21,23,Kristiansand,innstillinger,Anne
2023-02-21,731,Stavanger,innstillinger,Anne
2023-02-21,151,Oslo,meldinger,Per
2023-02-21,607,Stavanger,profil,Ola
2023-02-21,1140,Stavanger,profil,Per
2023-02-21,334,Stavanger,profil,Per
2023-02-21,294,Trondheim,meldinger,Per
2023-02-21,185,Stavanger,meldinger,Nils
2023-02-22,20,Trondheim,profil,Ola
2023-02-22,99,Stavanger,profil,Per
2023-02-22,333,Kristiansand,brukeranmeldelser,Per
2023-02-22,1004,Stavanger,brukeranmeldelser,Ola
2023-02-22,13,Stavanger,profil,Ola
2023-02-22,837,Trondheim,brukeranmeldelser,Ola
2023-02-23,27,Trondheim,brukeranmeldelser,Per
2023-02-23,260,Stavanger,innstillinger,Ola
2023-02-23,300,Bergen,meldinger,Kari
2023-02-23,629,Kristiansand,profil,Per
2023-02-23,843,Oslo,brukeranmeldelser,Ola
2023-02-23,1299,Stavanger,brukeranmeldelser,Kari
2023-02-23,312,Stavanger,brukeranmeldelser,Anne
2023-02-23,1130,Kristiansand,innstillinger,Nils
2023-02-23,164,Oslo,innstillinger,Ola
2023-02-23,155,Trondheim,brukeranmeldelser,Anne
2023-02-23,333,Oslo,meldinger,Per
2023-02-23,1316,Bergen,brukeranmeldelser,Anne
2023-02-23,1024,Kristiansand,brukeranmeldelser,Kari
2023-02-24,1184,Trondheim,profil,Ola
2023-02-24,1035,Stavanger,brukeranmeldelser,Per
2023-02-24,241,Trondheim,profil,Kari
2023-02-24,216,Kristiansand,brukeranmeldelser,Per
2023-02-24,1062,Bergen,meldinger,Kari
2023-02-24,1317,Kristiansand,innstillinger,Anne
2023-02-24,1359,Bergen,innstillinger,Per
2023-02-24,374,Kristiansand,brukeranmeldelser,Per
2023-02-24,1014,Kristiansand,meldinger,Nils
2023-02-25,1198,Oslo,meldinger,Per
2023-02-25,1142,Trondheim,profil,Per
2023-02-25,1437,Bergen,brukeranmeldelser,Per
2023-02-25,302,Stavanger,meldinger,Ola
2023-02-25,344,Oslo,brukeranmeldelser,Anne
2023-02-25,1170,Kristiansand,brukeranmeldelser,Nils
2023-02-25,1243,Bergen,innstillinger,Per
2023-02-25,574,Oslo,brukeranmeldelser,Ola
2023-02-25,1112,Oslo,brukeranmeldelser,Nils
2023-02-25,588,Trondheim,innstillinger,Ola
2023-02-26,1404,Trondheim,profil,Anne
2023-02-26,396,Trondheim,brukeranmeldelser,Ola
2023-02-26,1354,Oslo,brukeranmeldelser,Ola
2023-02-26,1088,Bergen,meldinger,Anne
2023-02-26,142,Trondheim,innstillinger,Nils
2023-02-26,604,Oslo,brukeranmeldelser,Ola
2023-02-27,290,Bergen,meldinger,Anne
2023-02-27,866,Bergen,profil,Per
2023-02-27,1026,Bergen,innstillinger,Nils
2023-02-27,815,Stavanger,brukeranmeldelser,Per
2023-02-27,1244,Oslo,innstillinger,Per
2023-02-28,303,Stavanger,innstillinger,Nils
2023-02-28,782,Bergen,innstillinger,Kari
2023-02-28,890,Kristiansand,brukeranmeldelser,Kari
2023-02-28,406,Kristiansand,innstillinger,Kari
2023-02-28,398,Stavanger,meldinger,Ola
2023-02-28,50,Kristiansand,brukeranmeldelser,Anne
2023-02-28,469,Bergen,profil,Kari
2023-02-28,963,Stavanger,profil,Nils
2023-02-28,750,Trondheim,innstillinger,Anne
2023-03-01,669,Bergen,brukeranmeldelser,Per
2023-03-01,588,Bergen,brukeranmeldelser,Anne
2023-03-01,349,Stavanger,profil,Kari
2023-03-01,1062,Oslo,profil,Nils
2023-03-01,444,Stavanger,innstillinger,Per
2023-03-01,1408,Kristiansand,profil,Anne
2023-03-01,558,Kristiansand,meldinger,Kari
2023-03-01,1141,Stavanger,brukeranmeldelser,Nils
2023-03-01,1049,Bergen,innstillinger,Ola
2023-03-01,377,Kristiansand,profil,Ola
2023-03-01,583,Bergen,meldinger,Ola
2023-03-01,1316,Bergen,innstillinger,Anne
2023-03-01,530,Stavanger,meldinger,Anne
2023-03-01,1225,Bergen,meldinger,Ola
2023-03-02,992,Kristiansand,meldinger,Per
2023-03-02,482,Bergen,brukeranmeldelser,Anne
2023-03-02,630,Oslo,profil,Nils
2023-03-02,804,Stavanger,meldinger,Kari
2023-03-02,1183,Bergen,brukeranmeldelser,Kari
2023-03-02,589,Kristiansand,brukeranmeldelser,Nils
2023-03-02,1277,Bergen,innstillinger,Ola
2023-03-02,262,Bergen,meldinger,Nils
2023-03-03,1397,Oslo,brukeranmeldelser,Nils
2023-03-03,458,Trondheim,innstillinger,Anne
2023-03-03,1241,Kristiansand,profil,Per
2023-03-03,35,Oslo,innstillinger,Nils
2023-03-03,72,Trondheim,profil,Ola
